name,url,industry,social page,location,founded,size
Kuits,http://www.kuits.com,Law Practice,https://www.linkedin.com/company/247856,Manchester. England. United Kingdom,,51-200
Wake Smith Solicitors,http://www.wake-smith.co.uk,Law Practice,https://www.linkedin.com/company/743634,Sheffield. England. United Kingdom,1802,51-200
Berry Smith LLP,http://www.berrysmith.com,Law Practice,https://www.linkedin.com/company/461040,Cardiff. Wales. United Kingdom,1986,51-200
Griffith Smith LLP,http://www.griffithsmith.co.uk/,Law Practice,https://www.linkedin.com/company/5138451,Brighton. England. United Kingdom,1881,51-200
Piper Smith Watton LLP,http://www.blakemorgan.co.uk,Law Practice,https://www.linkedin.com/company/541574,Barbican. England. United Kingdom,,51-200
Bermans,http://www.bermans.co.uk,Law Practice,https://www.linkedin.com/company/811468,Liverpool. England. United Kingdom,1970,51-200
Bright Solicitors,http://www.brightllp.co.uk/,Law Practice,https://www.linkedin.com/company/408167,Plymouth. England. United Kingdom,2006,51-200
Andrew & Co LLP Solicitors,http://www.andrew-solicitors.co.uk,Law Practice,https://www.linkedin.com/company/636075,United Kingdom,1832,51-200
187 Fleet Street | Chambers of Andrew Trollope QC and Richard Christie QC,http://www.187fleetstreet.com/,Law Practice,https://www.linkedin.com/company/187-fleet-street-chambers-of-andrew-trollope-qc,EC4A 2AT. London. 187 Fleet Street,1974,51-200
Andrew Jackson Solicitors LLP,http://www.andrewjackson.co.uk,Law Practice,https://www.linkedin.com/company/367897,Hull. England. United Kingdom,1874,51-200
Woodfines Solicitors,http://www.woodfines.co.uk,Law Practice,https://www.linkedin.com/company/1052910,Bedford. England. United Kingdom,,51-200
Lincoln House Chambers,http://www.lincolnhousechambers.com/,Law Practice,https://www.linkedin.com/company/1282363,Manchester. England. United Kingdom,1978,51-200
Williamsons Solicitors,http://www.williamsons-solicitors.co.uk,Law Practice,https://www.linkedin.com/company/5175959,Hull. England. United Kingdom,1890,51-200
TC Young LLP,http://www.tcyoung.co.uk,Law Practice,https://www.linkedin.com/company/1281627,Glasgow. Scotland. United Kingdom,1841,51-200
Sharp Young & Pearce LLP,http://www.rotherasharp.co.uk,Law Practice,https://www.linkedin.com/company/9415871,Nottingham. England. United Kingdom,1876,51-200
Fieldings Porter Solicitors. Bolton and Manchester,https://www.fieldingsporter.co.uk,Law Practice,https://www.linkedin.com/company/546542,Bolton. England. United Kingdom,1871,51-200
Wrigleys Solicitors,http://www.wrigleys.co.uk,Law Practice,https://www.linkedin.com/company/947967,Leeds. England. United Kingdom,1996,51-200
Wilkinson Woodward Solicitors,http://www.wilkinsonwoodward.co.uk,Law Practice,https://www.linkedin.com/company/2398546,Halifax. England. United Kingdom,1886,51-200
VHS Fletchers Solicitors,http://www.vhsfletchers.co.uk/,Law Practice,https://www.linkedin.com/company/5028347,Nottingham. England. United Kingdom,2008,51-200
Swain & Co Solicitors,https://www.swainandco.com,Law Practice,https://www.linkedin.com/company/1105502,Havant. England. United Kingdom,2002,51-200
Mathys & Squire LLP,http://www.mathys-squire.com,Law Practice,https://www.linkedin.com/company/69691,South Bank. England. United Kingdom,1910,51-200
Marsden Rawsthorn Solicitors Limited,http://www.marsdenrawsthorn.com,Law Practice,https://www.linkedin.com/company/244102,Preston. England. United Kingdom,,51-200
